title,description,category,sub_category,type,image_link,availability
Round Metal & Glass Top Entry Table,"I first saw this style table in the center of an wine tasting room in, Paso Robles - we were on vacation and went on a wine tasting binge. I loved this table!  I bought an exact look-a-like from a couple who were moving to Denver Colorado, this time it was situated in a study with a huge vase complimenting the room...
This tall elegant entryway table is suited to make a statement in any room, from home office, living room to entryway of foyer.  Really, it's up to you. It's fine vintage condition - you will love how it's dresses up any space. While it is slightly on the heavy it is well centered with a 24"" round glass top. It's ready for your biggest vase, sculpture or flower arrangement.",Tables & Desks,Tables,Console tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_fe27c313-1c55-4ded-bcc6-faad1683a387.png,in_stock
Blu Dot Clean Cut Chair,"Description: The Clean Cut chair by Blu Dot is constricted with a powder coated 3D bent steel base and a contoured painted plywood seat. . Brand: Blu Dot. Model: Clean Cut Chair. Material: wood,metal.  Seat heigt: 18. Retail price: $295. Gently used - any blemishes or damage will be included in the photos. #SKU: 3001551. Tags: liquidation,plywood,modern,metal",Seating,Chairs,Dining Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_2fd23ef1-16ad-463c-885e-839c15f8ee5b.jpg,in_stock
Four Hands,"Description: Four Hands Modern Low-Profile Gray 90"" Tufted Sofa With Frame Arms And Wood Legs.   Material: fabric,wood.  Seat heigt: 16.5.  Gently used - any blemishes or damage will be included in the photos. #SKU: 3001545. Tags: liquidation,wood,modern,fabric",Seating,Sofas,Sofas,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_db3cf668-8459-4310-b452-15de2c3ee1fe.jpg,in_stock
Zuo Modern LA High Chest,"Description: The LA High Chest by Zuo Modern is constructed with rubber wood and veneer dour white drawers that stand out against the walnut finish of the frame.. Brand: Zuo Modern. Model: LA High Chest. Material: wood.   Retail price: $898. Gently used - any blemishes or damage will be included in the photos. #SKU: 1058854. Tags: veneer,wood,modern",Storage,Trunks & Chests,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_a236505c-0058-48d4-bbcf-e3d0f01ea276.jpg,in_stock
Classic Sofa In Updated Color ,"Description: Light Lime Green Fabric Upholstered Classic Eight Foot Sofa With Inverted Skirt And Rolled Arms.   Material: fabric,wood.  Seat heigt: 19.  Gently used - any blemishes or damage will be included in the photos. #SKU: 1058741. Tags: liquidation,fabric,classic",Seating,Sofas,Sofas,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_6e6ae560-6d47-4883-b8ee-376613e3f2c0.jpg,in_stock
Restoration Hardware Leather Ottoman ,"Description: Designer Rectangular Leather Ottoman With Nail Head Detailing And Wood Legs On Casters . Brand: Restoration Hardware.  Material: wood.  Seat heigt: 17. Retail price: $1295. Gently used - any blemishes or damage will be included in the photos. #SKU: 1058737. Tags: liquidation,leather,classic",Seating,Ottomans & Footstools,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_25a07303-6ad8-4b4c-9dbb-f443d0d99796.jpg,in_stock
French Provincial Mirror 59x35 LOCAL PICKUP Large Antique Shabby Chic Carved Wood Vintage Wall Mirror,"Vintage mirror is in very good condition with some scuffs on the wood frame from normal wear and age. The mirror glass is in great condition. Ready to be enjoyed in its original medium wood finish.

•This includes 1 mirror.
•Measures 59” wide x 35” high x 1"" deep.
•Original vintage mirror with solid wood frame. 

I am Elle Woodworth and my husband and I are experts at sourcing vintage treasures. Interested in seeing more? Meet us at our Fort Myers, FL warehouse to see all of our goodies! Call or text me at 239-560-2008 with any furniture questions or to schedule a time to meet.

SHIPPING
Free Local Pickup Only in Fort Myers, FL. Price does not include shipping.

RETURNS:
Cancellations are accepted within 24 hours of purchase. No returns or exchanges are accepted. Please contact me if you have any problems with your order. Upon receiving your item, it is your responsibility to fully inspect the piece of furniture and contact me immediately if there is an issue. 

We offer unique vintage items that may have imperfections. Please feel free to ask as many questions and request as many pictures as you'd like before ordering. I am happy to help. -Elle",Decor,Mirrors,Wall Mirrors,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_66465c6b-90c6-4874-a574-943d44b1c7cc.jpg,in_stock
"Faux Bamboo Dresser with 9 Drawers by Henry Link Bali Hai 70"" Long Vintage Sage Green Shutter Louver Door Hollywood Regency Coastal Credenza","Genuine Henry Link Bali Hai 9 drawer dresser features beautiful faux bamboo details and a shutter style door. It is in very good vintage condition with scuffs from normal wear and age and all of the drawers open and close well. Ready to be enjoyed in its original sage green finish or it makes a great piece to paint or lacquer.

*Shipping is not free. For long-distance shipping, please message me your zip code for a shipping quote. Local pickup is available in Fort Myers, FL.*

•Measures 70"" wide x 19.5"" deep x 32.5"" high.
•Drawer interior measurements: six outer drawers are 23.25"" wide x 5"" high x 14.5"" deep and the three middle drawers are 11"" wide x 5"" high x 13"" deep. 
•Stamped ""Henry Link"" and ""Bali Hai"".
•All nine dovetailed drawers open and close smoothly.
•Includes its original hardware.
•Comes from a smoke free estate home.
•Great as a bedroom bureau, buffet cabinet, sideboard, credenza, media center or as a changing table for a nursery.

I also have the following Henry Link Bali Hai pieces available:

Lingerie Dresser: https://ellewoodworthy.etsy.com/listing/1542088512

Nightstands: https://ellewoodworthy.etsy.com/listing/1535827932

End Table: https://ellewoodworthy.etsy.com/listing/1356337192

Mirror: https://ellewoodworthy.etsy.com/listing/1535856024

Set of 2 Mirrors: https://ellewoodworthy.etsy.com/listing/1541279368

Queen Headboard: https://ellewoodworthy.etsy.com/listing/1554727215

Desk: https://ellewoodworthy.etsy.com/listing/1451283786

Chair: https://ellewoodworthy.etsy.com/listing/1496563842

Vanity Table: https://ellewoodworthy.etsy.com/listing/1544622344

Vanity Chair: https://ellewoodworthy.etsy.com/listing/1558811915

Cabinet Hutch: https://ellewoodworthy.etsy.com/listing/1495031545

I am Elle Woodworth and my husband and I are experts at sourcing vintage treasures. Interested in seeing more?? Meet us at our Fort Myers, FL warehouse to see all of our goodies! Call or text me at 239-560-2008 with any furniture questions or to schedule a time to meet. -Elle 

SHIPPING:
Please message me for a shipping quote. We blanket wrap and carefully secure items for safe delivery to the 48 contiguous United States. We give you shipping updates as your item is being delivered.

LOCAL PICKUP 
We can meet in Fort Myers, FL.

RETURNS:
Cancellations are accepted within 24 hours of purchase. No returns or exchanges are accepted. Please contact me if you have any problems with your order. Upon receiving your item, it is your responsibility to fully inspect the piece before the furniture shipper leaves and contact me immediately if there is an issue. 

We offer unique vintage items that may have imperfections. Please feel free to ask as many questions and request as many pictures as you'd like before ordering. I am happy to help. -Elle",Storage,Dressers & Chests of Drawers,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_f07a9662-ed54-416b-b776-ccdb2edc00e2.jpg,in_stock
Bradshaw TV Console Wood w Glass Doors Entertainment Center KW214-14,"  Entertainment center, DVD drawers. The Bradshaw TV Console which is suitable for flat panels up to 65″ and weighing up to 135 lbs.  
 Dimensions: 60 x 20 x 28""H 
 Condition: Very good.   
 Local pick up McLean, VA.  Contact us for shipper suggestions. ",Storage,Sideboards & Credenzas,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_d6a8ce51-d149-4f74-87f2-eb9e22b81a91.jpg,in_stock
 Metal Flower and Leaf in Pot Water Fountain with UL Pump,"*NEW* Metal Flower and Leaf in Pot Water Fountain with UL Pump  
 
 
 Height  = 48""h 
  
 
  Item Number:  
6800-71  
  Item ID:  
50754  
  Category:  
Fountain  ",Decor,Decorative Accessories,Decorative Accents,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_fb3821da-54ba-48e0-9aa3-ac7907eb80a5.jpg,in_stock
 Medium Denim Glass and Metal Vase, Template not found - C:\RWD\AuctionTemplates\eBayTemplate ,Decor,Decorative Accessories,Vases,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_f69c891f-63ad-4353-97d9-c56853b13544.jpg,in_stock
 Iron Duck Water Fountain,"*NEW* Iron Duck Water Fountain  
 
 
 Height  = 33""H 
 
 Length  = 17""D 
  
 
  Item Number:  
6800-92  
  Item ID:  
50779  
  Category:  
Fountain  ",Decor,Decorative Accessories,Sculptures & Statues,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_1e943ce1-88cb-4e17-8b79-f5be7b64db01.jpg,in_stock
 Hand Thrown Pottery Vase Set,"*NEW* Hand Thrown Pottery Vase Set  
 
 
 Height  = 8.5""H 
  
 
  Item Number:  
7622-116  
  Item ID:  
49623  
  Category:  
Vase  ",Decor,Decorative Accessories,Vases,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_ca3b3706-e57f-46de-85dd-4a4c4940b32f.jpg,in_stock
 Hammered Vase Set,"*NEW* Hammered Vase Set  
 
  
 
  Item Number:  
7622-101  
  Item ID:  
49608  
  Category:  
Vase  ",Decor,Decorative Accessories,Vases,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_040aa59d-1223-4eb6-8a91-0818012ff1a0.jpg,in_stock
 Green Terra Cotta Vase,"*NEW* Green Terra Cotta Vase  
 
 
 Width  = 6""D 
 
 Height  = 15.5""h 
  
 
  Item Number:  
6800-78  
  Item ID:  
50761  
  Category:  
Vase  ",Decor,Decorative Accessories,Vases,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_b8b68cfb-52b4-4122-ae67-b1e1c2639dab.jpg,in_stock
 Green Ceramic Vase with Textured Circles,"*NEW* Green Ceramic Vase with Textured Circles  
 
 
 Height  = 11.5"" H 
  
 
  Item Number:  
357-318  
  Item ID:  
34554  
  Category:  
Vase  ",Decor,Decorative Accessories,Vases,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_6fc7660f-2b5c-4180-b56f-b0a34f402375.jpg,in_stock
 Embossed Wide Mouth Vase Set,"*NEW* Embossed Wide Mouth Vase Set  
 
  
 
  Item Number:  
7622-87  
  Item ID:  
49591  
  Category:  
Vase  ",Decor,Decorative Accessories,Vases,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_75b7a0c2-7c59-4683-af3f-eee26ee02039.jpg,in_stock
 Dunleaf Oval Vase,"*NEW* Dunleaf Oval Vase  
 
 
 Height  = 15.5"" High 
  
 
  Item Number:  
5766-142  
  Item ID:  
47256  
  Category:  
Vase  ",Decor,Decorative Accessories,Vases,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_c41ef25d-d8f6-4104-97ed-c23e40db714e.jpg,in_stock
*New* Charcoal Finish Display Cabinet,"*New* Charcoal Finish Display Cabinet  
 
 
 Height  = 93"" High 
 
 Depth  = 18""D 
 
 Width  = 39""w 
  
 
  Item Number:  
10758-1  
  Item ID:  
59387  
  Category:  
Cabinets  ",Storage,Storage & Display Cabinets,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_4d9f51fd-a5b7-4c94-931d-d85f76da925a.jpg,in_stock
 Capstone Tufted Barrel Swivel Chair in Taupe,"*NEW* Capstone Tufted Barrel Swivel Chair in Taupe  
 
 
 Brand  = Madison Park  
 
 Height  = 28.5""H 
 
 Depth  = 31.5"" d 
  
 
  Item Number:  
5788-369  
  Item ID:  
59422  
  Category:  
Ottomans  ",Seating,"Chairs, Armchairs","Swivel Chairs, Club Chairs",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_038ca641-f447-4c95-b5fa-460d436b93d8.jpg,in_stock
 Brushed Cement Planter, Template not found - C:\RWD\AuctionTemplates\eBayTemplate ,Decor,Decorative Accessories,Decorative Accents,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_5c047cd6-991d-4529-b452-ae2af9f53be9.jpg,in_stock
 Black & White Tall Ceramic Vase,"*NEW* Black &amp; White Tall Ceramic Vase  
 
 
 Height  = 17.5""h 
  
 
  Item Number:  
6800-97  
  Item ID:  
51390  
  Category:  
Vase  ",Decor,Decorative Accessories,Vases,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_9bc27ccc-e070-4ac2-af3d-ee956017054c.jpg,in_stock
 Black & White Ceramiic Vase,"*NEW* Black &amp; White Ceramic Vase  
 
 
 Height  = 10.5""h 
  
 
  Item Number:  
6800-98  
  Item ID:  
51391  
  Category:  
Vase  ",Decor,Decorative Accessories,Vases,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_4d69a7ba-5f10-4f34-b25b-bf28636748d6.jpg,in_stock
Williams-Sonoma Yountville Chair,"Description: The Yountville Chair from Williams-Sonoma has block arms and a deep seat with an angled back perfect for lounging. This chair is upholstered in performance fabric and is finished off with chrome block feet..   Material: fabric,metal.  Seat heigt: 16.5. Retail price: $2295. Gently used - any blemishes or damage will be included in the photos. #SKU: 3001549. Tags: modern,contemporary,metal,wood,fabric",Seating,Armchairs,"Club Chairs, Arm Chairs",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_4e45f86e-bf64-4ed0-9f0b-96a0a6f576e4.jpg,in_stock
